common_name	pathway	main_function	main_function_two	pval	padj	log2err	ES	NES	size	leadingEdge	DoseComparison	Cluster
Cytokine Signaling in Immune system	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Other	None	0.526415094339623	0.526415094339623	0.0734381410838857	-0.772727272727273	-1.05663259311479	1	BATF	2Gy_vs_0Gy	0
Developmental Biology	REACTOME_DEVELOPMENTAL_BIOLOGY	Other	None	0.0830188679245283	0.207547169811321	0.213927855492356	-1.0	-1.36740688520738	1	CTCF	2Gy_vs_0Gy	0
Interleukin-4 and Interleukin-13 signaling	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Cytokine Signalling Immune System	None	0.526415094339623	0.526415094339623	0.0734381410838857	-0.772727272727273	-1.05663259311479	1	BATF	2Gy_vs_0Gy	0
Signaling by Interleukins	REACTOME_SIGNALING_BY_INTERLEUKINS	Cytokine Signalling Immune System	None	0.526415094339623	0.526415094339623	0.0734381410838857	-0.772727272727273	-1.05663259311479	1	BATF	2Gy_vs_0Gy	0
Activation of anterior HOX genes in hindbrain development during early embryogenesis	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	Other	None	0.399598393574297	0.839965924303274	0.0916795246008379	-0.783783783783784	-1.04042445679636	1	CTCF	2Gy_vs_0Gy	1
Cellular responses to stimuli	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Other	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Cellular response to chemical stress	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Circadian clock	REACTOME_CIRCADIAN_CLOCK	Other	None	0.101190476190476	0.839965924303274	0.197822021315103	0.972972972972973	1.28143797325031	1	NFIL3	2Gy_vs_0Gy	1
Cytokine Signaling in Immune system	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Other	None	0.29718875502008	0.839965924303274	0.109684061970549	-0.864864864864865	-1.14805457301668	1	BATF	2Gy_vs_0Gy	1
Cytoprotection by HMOX1	REACTOME_CYTOPROTECTION_BY_HMOX1	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
