pathway	pval	padj	log2err	ES	NES	size	leadingEdge	DoseComparison	Cluster
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.675889328063241	0.999714255685327	0.0445070537769277	-0.359574436489282	-0.858748849392505	9	ABCA4, UBC, PSMA4, PSMC3, PSMD4, ABCF1, ABCD3, PSMC2	2Gy_vs_0Gy	0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.865424430641822	0.999714255685327	0.0538979025357319	0.573217726396917	0.767066350343294	1	ABCD3	2Gy_vs_0Gy	0
REACTOME_ABC_TRANSPORTER_DISORDERS	0.538681948424069	0.999714255685327	0.0588438169595807	-0.481340221947581	-0.98552332984319	5	UBC, PSMA4, PSMC3, PSMD4	2Gy_vs_0Gy	0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.553846153846154	0.999714255685327	0.0718276293603809	-0.723506743737958	-0.962696852338519	1	ANAPC11	2Gy_vs_0Gy	0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.216748768472906	0.999714255685327	0.147331213699377	0.758919961427194	1.24150240795437	2	CCNE2, CDK6	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.958123953098827	0.999714255685327	0.0395172228473919	-0.394105142906281	-0.623927329027732	2	UBC	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.759615384615385	0.999714255685327	0.0565299525056311	-0.627167630057804	-0.834508190242844	1	KRAS	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS	0.759615384615385	0.999714255685327	0.0565299525056311	-0.627167630057804	-0.834508190242844	1	KRAS	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS	0.759615384615385	0.999714255685327	0.0565299525056311	-0.627167630057804	-0.834508190242844	1	KRAS	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.555769230769231	0.999714255685327	0.0716527366829457	-0.722543352601156	-0.961414965717562	1	UBC	2Gy_vs_0Gy	0
