pathway	pval	padj	log2err	ES	NES	size	leadingEdge	DoseComparison	Cluster
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.165217391304348	0.855259164687045	0.186432558434075	0.727692307692308	1.24205070952858	2	ABCA7, ABCC10	2Gy_vs_0Gy	0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.283095723014257	0.855259164687045	0.11378726182188	0.847926267281106	1.13912695571606	1	ABCA7	2Gy_vs_0Gy	0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.468431771894094	0.859531772575251	0.0835990603684159	0.752688172043011	1.01118153677694	1	POLR2F	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.253378378378378	0.855259164687045	0.160801401070022	0.567026194144838	1.14384085710009	3	CNTN1, MIB2, PSENEN	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.303462321792261	0.855259164687045	0.109250039480711	0.840245775729647	1.12880877676936	1	PIK3R1	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.303462321792261	0.855259164687045	0.109250039480711	0.840245775729647	1.12880877676936	1	PIK3R1	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.641547861507128	0.946249434056867	0.0673623868166279	0.678955453149002	0.912127018888584	1	PKN1	2Gy_vs_0Gy	0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.989816700610998	0.996277645131957	0.0469758727821845	0.505376344086022	0.678936174693086	1	MAPK11	2Gy_vs_0Gy	0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.816700610997963	0.967261657672617	0.055826471778749	0.596006144393241	0.800690686264187	1	TUBB2A	2Gy_vs_0Gy	0
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.147826086956522	0.855259164687045	0.197822021315103	0.753846153846154	1.28669100987104	2	RARA, POLR2F	2Gy_vs_0Gy	0
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.771894093686354	0.967261657672617	0.0584693210386381	0.617511520737327	0.829581587314957	1	DLG4	2Gy_vs_0Gy	0
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.439878234398782	0.859531772575251	0.0716527366829457	-0.619656380840066	-1.02451448992901	2	MMP10	2Gy_vs_0Gy	0
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.283783783783784	0.855259164687045	0.151148761385484	0.554699537750385	1.11897475151096	3	DLG4, TUBB2A, GRIA1	2Gy_vs_0Gy	0
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION	0.989816700610998	0.996277645131957	0.0469758727821845	0.505376344086022	0.678936174693086	1	MAPK11	2Gy_vs_0Gy	0
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.989816700610998	0.996277645131957	0.0469758727821845	0.505376344086022	0.678936174693086	1	MAPK11	2Gy_vs_0Gy	0
